SID:010,6,PEVEE6,OTAYY,PEVEE,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,PEVEE6,OTAYY,TANNN,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,PEVEE6,OTAYY,NNICE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,PEVEE6,OTAYY,PNDAH,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,PEVEE6,OTAYY,OTAYY,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,PEVEE6,TCATE,PEVEE,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,PEVEE6,TCATE,TANNN,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,15000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,PEVEE6,TCATE,NNICE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,PEVEE6,TCATE,PNDAH,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL200,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,PEVEE6,TCATE,TCATE,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,SMO3,RW03, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0326,    ,+,00680,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,SMO3,RW03,TREKK,K2,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,04000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,SMO3,RW03,DARTS,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,SMO3,RW03,CHOII,K2,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,4,SMO3,RW21, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,2126,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,4,SMO3,RW21,WRASH,K2,P,C,E   , ,   ,CF, ,TFD,K2,D, ,      ,2711,3418,2601,0057, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,4,SMO3,RW21,CTRUS,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,4,SMO3,RW21,DZINE,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     ,-,250,    ,   , , , , , , , , ;
SID:050,4,SMO3,RW21,SEAEM,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,4,SMO3,RW21,CHOII,K2,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07100,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,SMO3,DAG,CHOII,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,07100,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,SMO3,DAG,SLAPP,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,SMO3,DAG,JARZO,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10300,     ,     ,-,250,    ,   , , , , , , , , ;
SID:040,6,SMO3,DAG,VVERA,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,SMO3,DAG,SSETH,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,6,SMO3,DAG,DAG,K2,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,SMO3,HEC,CHOII,K2,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,07100,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,6,SMO3,HEC,SLAPP,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,09000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,SMO3,HEC,JARZO,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,10300,     ,     ,-,250,    ,   , , , , , , , , ;
SID:040,6,SMO3,HEC,VVERA,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,SMO3,HEC,SSETH,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,6,SMO3,HEC,HEC,K2,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,TPNGA2,RW03, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0326,    ,+,00570,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,TPNGA2,RW03, , , , ,    ,R,   ,CI,Y,SMO,K2,D, ,      ,    ,    ,2100,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,1,TPNGA2,RW03,SADDE,K2,E,A,EE  , ,   ,CF, ,LAX,K2,D, ,      ,2760,0178,2760,0160,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,1,TPNGA2,RW21, , , , ,    , ,   ,CI, ,SMO,K2,D, ,      ,    ,    ,2100,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
SID:020,1,TPNGA2,RW21,SADDE,K2,E,A,EE  , ,   ,CF, ,LAX,K2,D, ,      ,2760,0178,2760,0160,+,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,BOGET2,BUGGA,BUGGA,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,BOGET2,BUGGA,JOEES,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,BOGET2,BUGGA,DNUTT,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL230,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,BOGET2,BUGGA,JOHHN,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL220,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,BOGET2,BUGGA,BASAL,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,BOGET2,BUGGA,DYVER,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,BOGET2,BUGGA,CHKNZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,BOGET2,BUGGA,KOPLE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,BOGET2,BUGGA,ROPEZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,11000,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,BOGET2,BUGGA,BOGET,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,BOGET2,EED,EED,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,BOGET2,EED,COOOP,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,BOGET2,EED,TAAAP,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,BOGET2,EED,JOEES,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,BOGET2,EED,DNUTT,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL230,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,BOGET2,EED,JOHHN,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL220,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,BOGET2,EED,BASAL,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,BOGET2,EED,DYVER,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,BOGET2,EED,CHKNZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,BOGET2,EED,KOPLE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:110,4,BOGET2,EED,ROPEZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,11000,     , ,   ,    ,   , , , , , , , , ;
STAR:120,4,BOGET2,EED,BOGET,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,BOGET2,KREME,KREME,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,BOGET2,KREME,DNUTT,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL230,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,BOGET2,KREME,JOHHN,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL220,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,BOGET2,KREME,BASAL,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,BOGET2,KREME,DYVER,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,BOGET2,KREME,CHKNZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,BOGET2,KREME,KOPLE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,BOGET2,KREME,ROPEZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,11000,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,BOGET2,KREME,BOGET,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,BOGET2,PURSE,PURSE,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,BOGET2,PURSE,NIPIY,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,BOGET2,PURSE,KREME,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,BOGET2,PURSE,DNUTT,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL230,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,BOGET2,PURSE,JOHHN,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL220,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,BOGET2,PURSE,BASAL,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,BOGET2,PURSE,DYVER,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,BOGET2,PURSE,CHKNZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,BOGET2,PURSE,KOPLE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,BOGET2,PURSE,ROPEZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,11000,     , ,   ,    ,   , , , , , , , , ;
STAR:110,4,BOGET2,PURSE,BOGET,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,BOGET2,WELUM,WELUM,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,BOGET2,WELUM,NIPIY,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,BOGET2,WELUM,KREME,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,BOGET2,WELUM,DNUTT,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL230,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,BOGET2,WELUM,JOHHN,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL220,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,BOGET2,WELUM,BASAL,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,BOGET2,WELUM,DYVER,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:080,4,BOGET2,WELUM,CHKNZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,BOGET2,WELUM,KOPLE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:100,4,BOGET2,WELUM,ROPEZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,11000,     , ,   ,    ,   , , , , , , , , ;
STAR:110,4,BOGET2,WELUM,BOGET,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,BOGET2,WNCHL,WNCHL,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,BOGET2,WNCHL,GLAZD,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,BOGET2,WNCHL,SNTRA,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL190,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,BOGET2,WNCHL,COWWS,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,BOGET2,WNCHL,KOPLE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,14000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,BOGET2,WNCHL,ROPEZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,13000,11000,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,BOGET2,WNCHL,BOGET,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,5,BOGET2,ALL,BOGET,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,08000,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,5,BOGET2,ALL,MEETT,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,07500,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,BOGET2,ALL,WATSS,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06900,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,BOGET2,ALL,UPDOC,K2,E,A,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,BOGET2,ALL,UPDOC,K2,E,A,EE  , ,   ,FM, ,TFD,K2,D, ,      ,2736,3302,1400,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,4,BONJO2,HIHWY,HIHWY,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL220,FL200,18000, ,280,    ,   , , , , , , , , ;
STAR:020,4,BONJO2,HIHWY,MAIDD,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,17000,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,BONJO2,HIHWY,PEPRZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,14000,     , ,270,    ,   , , , , , , , , ;
STAR:040,4,BONJO2,HIHWY,HEVVY,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,BONJO2,HIHWY,ROKKR,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,12000,11000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,BONJO2,HONZK,HONZK,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,BONJO2,HONZK,PRPLE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL220,FL200,     , ,280,    ,   , , , , , , , , ;
STAR:030,4,BONJO2,HONZK,XXELL,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,17000,     , ,   ,    ,   , , , , , , , , ;
STAR:040,4,BONJO2,HONZK,YUTOO,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,14000,     , ,270,    ,   , , , , , , , , ;
STAR:050,4,BONJO2,HONZK,TRAVV,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,4,BONJO2,HONZK,ROKKR,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,12000,11000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,BONJO2,PRPLE,PRPLE,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,FL220,FL200,18000, ,280,    ,   , , , , , , , , ;
STAR:020,4,BONJO2,PRPLE,XXELL,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,17000,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,BONJO2,PRPLE,YUTOO,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,14000,     , ,270,    ,   , , , , , , , , ;
STAR:040,4,BONJO2,PRPLE,TRAVV,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,BONJO2,PRPLE,ROKKR,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,12000,11000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,BONJO2,RDHOT,RDHOT,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,BONJO2,RDHOT,HONZK,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL240,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,BONJO2,RDHOT,PRPLE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL220,FL200,     , ,280,    ,   , , , , , , , , ;
STAR:040,4,BONJO2,RDHOT,XXELL,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,17000,     , ,   ,    ,   , , , , , , , , ;
STAR:050,4,BONJO2,RDHOT,YUTOO,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,14000,     , ,270,    ,   , , , , , , , , ;
STAR:060,4,BONJO2,RDHOT,TRAVV,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,BONJO2,RDHOT,ROKKR,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,12000,11000,     , ,250,    ,   , , , , , , , , ;
STAR:010,4,BONJO2,REBRG,REBRG,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,4,BONJO2,REBRG,MMTLY,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,4,BONJO2,REBRG,CRUUE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,FL290,     ,     , ,280,    ,   , , , , , , , , ;
STAR:040,4,BONJO2,REBRG,EEAZY,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL290,FL240,     , ,280,    ,   , , , , , , , , ;
STAR:050,4,BONJO2,REBRG,HIHWY,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL220,FL200,     , ,280,    ,   , , , , , , , , ;
STAR:060,4,BONJO2,REBRG,MAIDD,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,FL190,17000,     , ,   ,    ,   , , , , , , , , ;
STAR:070,4,BONJO2,REBRG,PEPRZ,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,16000,14000,     , ,270,    ,   , , , , , , , , ;
STAR:080,4,BONJO2,REBRG,HEVVY,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:090,4,BONJO2,REBRG,ROKKR,K2,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,12000,11000,     , ,250,    ,   , , , , , , , , ;
STAR:010,5,BONJO2,ALL,ROKKR,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,B,12000,11000,18000, ,250,    ,   , , , , , , , , ;
STAR:020,5,BONJO2,ALL,ZEPPE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,B,10000,09000,     , ,   ,    ,   , , , , , , , , ;
STAR:030,5,BONJO2,ALL,IVINS,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,08000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,5,BONJO2,ALL,ROLLI,K2,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,+,06000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,5,BONJO2,ALL,BONJO,K2,P,C,EY  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,05000,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:060,5,BONJO2,ALL,BONJO,K2,P,C,EE  , ,   ,FM, ,TFD,K2,D, ,      ,2734,3366,1030,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,FERN7,AVE,AVE,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,FERN7,AVE,DERBB,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,1290,0290, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,FERN7,AVE,REYES,K2,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,1290,0430, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,FERN7,AVE,PIRUE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,1300,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:050,1,FERN7,AVE,FIM,K2,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,1300,0100, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,FERN7,DERBB,DERBB,K2,E,A,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
STAR:020,1,FERN7,DERBB,REYES,K2,E,A,E  H, ,   ,TF, , , , , ,      ,    ,    ,1290,0430, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:030,1,FERN7,DERBB,PIRUE,K2,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,1300,0120, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:040,1,FERN7,DERBB,FIM,K2,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,1300,0100, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
STAR:010,1,FERN7,FLW,FLW,K2,D, ,V   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,18000, ,   ,    ,   , , , , , , , , ;
