SID:010,5,BETU2A,RW04R,CH840,EK,P,C,EY  , ,   ,CF, ,KOR,EK,D, ,      ,0665,0387,0370,0020, ,     ,     ,05000, ,   ,    ,   ,EKCH,EK,P,A,A, , , ;
SID:020,5,BETU2A,RW04R,CH843,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BETU2A,RW04R,CH844,ES,P,C,E   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BETU2A,RW04R,CH845,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BETU2A,RW04R,BISTA,EK,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,BETU2A,RW04R,BETUD,EK,E,A,EE  ,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BETU2C,RW22R,RUBAT,EK,P,C,EY  , ,   ,CF, ,KOR,EK,D, ,      ,0719,0329,2170,0020, ,     ,     ,05000, ,   ,    ,   ,EKCH,EK,P,A,A, , , ;
SID:020,5,BETU2C,RW22R,BISTA,EK,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BETU2C,RW22R,BETUD,EK,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BETU2E,RW04L,CH839,EK,P,C,EY  , ,   ,CF, ,KOR,EK,D, ,      ,0661,0385,0370,0030, ,     ,     ,05000, ,   ,    ,   ,EKCH,EK,P,A,A, , , ;
SID:020,5,BETU2E,RW04L,CH843,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BETU2E,RW04L,CH844,ES,P,C,E   ,R,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BETU2E,RW04L,CH845,ES,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,BETU2E,RW04L,BISTA,EK,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,BETU2E,RW04L,BETUD,EK,E,A,EE  ,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:005,5,BETU2F,RW22L,LEVDO,EK,P,C,EY  , ,   ,CF, ,KOR,EK,D, ,      ,0724,0331,2170,0030, ,     ,     ,05000, ,   ,    ,   ,EKCH,EK,P,A,A, , , ;
SID:025,5,BETU2F,RW22L,BISTA,EK,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BETU2F,RW22L,BETUD,EK,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BETU3B,RW12,SEZAC,EK,P,C,EY  , ,   ,CF, ,KOR,EK,D, ,      ,0712,0381,1190,0020, ,     ,     ,05000, ,   ,    ,   ,EKCH,EK,P,A,A, , , ;
SID:020,5,BETU3B,RW12,CH811,ES,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BETU3B,RW12,BISTA,EK,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,BETU3B,RW12,BETUD,EK,E,A,EE  ,L,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,BETU3D,RW30,BAFIQ,EK,P,C,EY  , ,   ,CF, ,KOR,EK,D, ,      ,0655,0350,2990,0020, ,     ,     ,05000, ,   ,    ,   ,EKCH,EK,P,A,A, , , ;
SID:020,5,BETU3D,RW30,CH825,EK,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,BETU3D,RW30,CH826,EK,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
