SID:010,4,ALBA2B,RW09, , , , ,    , ,   ,VA, , , , , ,      ,    ,    ,0900,    ,+,00530,     ,04000, ,   ,    ,   ,VABB,VA,P,A,A, , , ;
SID:020,4,ALBA2B,RW09,MB397,VA,P,C,EB  , ,   ,DF, , , , , ,      ,    ,    ,    ,    ,+,01000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:020,5,ALBA2B, ,MB397,VA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,01000,     ,04000, ,   ,    ,   ,VABB,VA,P,A,A, , , ;
SID:030,5,ALBA2B, ,ALBAP,VA,P,C,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,FL080,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ALBA2B,AAU,ALBAP,VA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,FL080,     ,04000, ,   ,    ,   ,VABB,VA,P,A,A, , , ;
SID:020,6,ALBA2B,AAU,SEKVI,VA,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,ALBA2B,AAU,KAKPO,VA,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,ALBA2B,AAU,MB366,VA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,ALBA2B,AAU,AAU,VA,D, ,VE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ALBA2B,BETKU,ALBAP,VA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,FL080,     ,04000, ,   ,    ,   ,VABB,VA,P,A,A, , , ;
SID:020,6,ALBA2B,BETKU,XOPAL,VA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,ALBA2B,BETKU,MB878,VA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,ALBA2B,BETKU,MB381,VA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,ALBA2B,BETKU,BETKU,VA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ALBA2B,EXOLU,ALBAP,VA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,FL080,     ,04000, ,   ,    ,   ,VABB,VA,P,A,A, , , ;
SID:020,6,ALBA2B,EXOLU,XOPAL,VA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,ALBA2B,EXOLU,MB878,VA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,ALBA2B,EXOLU,MB381,VA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,ALBA2B,EXOLU,EXOLU,VA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ALBA2B,ISRIS,ALBAP,VA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,FL080,     ,04000, ,   ,    ,   ,VABB,VA,P,A,A, , , ;
SID:020,6,ALBA2B,ISRIS,XOPAL,VA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,ALBA2B,ISRIS,MB877,VA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,FL090,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,ALBA2B,ISRIS,MB361,VA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,ALBA2B,ISRIS,ISRIS,VA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ALBA2B,KAKPO,ALBAP,VA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,FL080,     ,04000, ,   ,    ,   ,VABB,VA,P,A,A, , , ;
SID:020,6,ALBA2B,KAKPO,SEKVI,VA,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,6,ALBA2B,KAKPO,KAKPO,VA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ALBA2B,MELAX,ALBAP,VA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,FL080,     ,04000, ,   ,    ,   ,VABB,VA,P,A,A, , , ;
SID:020,6,ALBA2B,MELAX,SEKVI,VA,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:025,6,ALBA2B,MELAX,KAKPO,VA,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,ALBA2B,MELAX,MB366,VA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,ALBA2B,MELAX,AAU,VA,D, ,V   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,ALBA2B,MELAX,MELAX,VA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,6,ALBA2B,NONEN,ALBAP,VA,P,C,E   , ,   ,IF, , , , , ,      ,    ,    ,    ,    , ,FL080,     ,04000, ,   ,    ,   ,VABB,VA,P,A,A, , , ;
SID:020,6,ALBA2B,NONEN,SEKVI,VA,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,6,ALBA2B,NONEN,KAKPO,VA,E,A,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,6,ALBA2B,NONEN,MB366,VA,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,6,ALBA2B,NONEN,NONEN,VA,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
