SID:010,5,ALSU1J,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1170,    ,+,00900,     ,18500, ,   ,    ,   ,CZM,MM,D, , , , , ;
SID:020,5,ALSU1J,RW12,ATHLO,MM,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ALSU1J,RW12,OBTAM,MM,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ALSU1J,RW12,CZ901,MM,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,14000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ALSU1J,RW12,ALSUP,MM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,ALSU1K,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2970,    ,+,00500,     ,18500, ,   ,    ,   ,CZM,MM,D, , , , , ;
SID:020,5,ALSU1K,RW30,CZ604,MM,P,C,E   , ,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,ALSU1K,RW30,IRDUS,MM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:040,5,ALSU1K,RW30,ILEKO,MM,P,C,E   , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:050,5,ALSU1K,RW30,OBTAM,MM,E,A,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:060,5,ALSU1K,RW30,CZ901,MM,P,C,E C , ,   ,TF, , , , , ,      ,    ,    ,    ,    ,-,14000,     ,     , ,   ,    ,   , , , , , , , , ;
SID:070,5,ALSU1K,RW30,ALSUP,MM,E,A,EEC , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AVSE1C,RW30, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2970,    ,+,00500,     ,18500, ,   ,    ,   ,CZM,MM,D, , , , , ;
SID:020,5,AVSE1C,RW30,CZ603,MM,P,C,E   ,R,   ,CF,Y,CZM,MM,D, ,      ,0852,0103,1100,0100, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AVSE1C,RW30,AVSEB,MM,E,A,EE  , ,   ,TF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,5,AVSE2B,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1170,    ,+,00900,     ,18500, ,   ,    ,   ,CZM,MM,D, , , , , ;
SID:020,5,AVSE2B,RW12, , , , ,    , ,   ,VI, , , , , ,      ,    ,    ,1170,    , ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:030,5,AVSE2B,RW12,AVSEB,MM,E,A,EE  , ,   ,CF, ,CZM,MM,D, ,      ,1038,0396,1020,0360, ,     ,     ,     , ,   ,    ,   , , , , , , , , ;
SID:010,2,BOTO2F,RW12, , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1180,    ,+,00420,     ,18500, ,   ,    ,   ,CZM,MM,D, , , , , ;
