APPCH:010,A,N04,MN,MN,FT,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03900,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,N04,MN,MN,FT,D,B,EY  , ,   ,FC, ,TD,FT,D, ,      ,2008,0012,2430,0050,+,02900,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,N04,MN,FN04,FT,P,C,EE  ,L,   ,CF,Y,TD,FT,D, ,      ,2234,0060,0490,0010,+,02900,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,N,N04, ,FN04,FT,P,C,E  F, ,   ,IF, ,MN,FT,D,B,      ,    ,    ,    ,    ,+,02900,     ,     , ,   ,    ,   ,TD,FT,D, , ,0, ,S;
APPCH:030,N,N04, ,EN04,FT,P,C,EY E, ,   ,CF, ,MN,FT,D,B,      ,    ,    ,0490,0046, ,01433,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,N,N04, ,MN,FT,D,B,EY M, ,   ,CF, ,MN,FT,D,B,      ,    ,    ,0490,0003,+,01810,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N04, , , , , ,  M , ,   ,CA, , , , , ,      ,    ,    ,0490,    ,+,02900,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,N,N04, ,MN,FT,D,B,EE H,R,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,N22,MN,MN,FT,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,03900,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,N22,MN,MN,FT,D,B,EY  , ,   ,FC, ,TD,FT,D, ,      ,2008,0012,0370,0070,+,02900,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,N22,MN,FN22,FT,P,C,EE  ,L,   ,CF,Y,TD,FT,D, ,      ,0260,0041,2050,0020,+,02900,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,N,N22, ,FN22,FT,P,C,E  F, ,   ,IF, ,MN,FT,D,B,      ,    ,    ,    ,    ,+,02900,     ,     , ,   ,    ,   ,TD,FT,D, , ,0, ,S;
APPCH:030,N,N22, ,RW22,FT,P,G,G  M, ,   ,CF, ,MN,FT,D,B,      ,    ,    ,2050,0045, ,01459,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,N,N22, ,MN,FT,D,B,EYM , ,   ,CF, ,TD,FT,D, ,      ,2008,0012,2050,0015, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N22, , , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,2050,    ,+,02900,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,N,N22, ,MN,FT,D,B,EE H,L,   ,DF, , , , , ,      ,    ,    ,    ,    , ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
RWY:RW04 ,     ,      ,01383, ,    , ,   ;N08370410,E016040010,0000;
RWY:RW22 ,     ,      ,01409, ,    , ,   ;N08382420,E016045640,0000;
