APPCH:010,A,N17,RJ,RJ,VG,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,06000,-,150,    ,   , , , , , ,0, ,S;
APPCH:020,A,N17,RJ,RJ,VG,D,B,EY  , ,   ,FC, ,RAJ,VG,D, ,      ,3392,0002,3380,0050,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,N17,RJ,FN17,VG,P,C,EE  ,R,   ,CF,Y,RAJ,VG,D, ,      ,3552,0044,1760,0010,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,N,N17, ,FN17,VG,P,C,E  F, ,   ,IF, ,RJ,VG,D,B,      ,    ,    ,    ,    ,+,01200,     ,06000, ,   ,    ,   ,RJ,VG,D,B, ,0, ,S;
APPCH:030,N,N17, ,RW17,VG,P,G,G  M, ,   ,CF, ,RJ,VG,D,B,      ,    ,    ,1760,0040, ,00105,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,N,N17, ,RJ,VG,D,B,EYM , ,   ,CF, ,RAJ,VG,D, ,      ,3392,0002,1760,0002, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N17, , , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1760,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,N,N17, , , , , , E  ,L,   ,VM,Y, , , , ,      ,    ,    ,3560,    , ,02000,     ,     ,-,150,    ,   , , , , , ,0, ,S;
APPCH:010,A,N35,RJ1,RJ,VG,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,06000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,N35,RJ1,RJ,VG,D,B,EY  , ,   ,FC, ,RAJ,VG,D, ,      ,3392,0002,1940,0045,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,N35,RJ1,FN35,VG,P,C,EE  ,L,   ,CF,Y,RAJ,VG,D, ,      ,1705,0046,3500,0010,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,N35,RJ2,RJ,VG,D,B,E  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,06000, ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,A,N35,RJ2,RJ,VG,D,B,EY  , ,   ,FC, ,RAJ,VG,D, ,      ,3392,0002,1880,0045,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,N35,RJ2,FN35,VG,P,C,EE  ,L,   ,CF,Y,RAJ,VG,D, ,      ,1705,0046,3500,0010,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,N,N35, ,FN35,VG,P,C,E  F, ,   ,IF, ,RJ,VG,D,B,      ,    ,    ,    ,    ,+,01200,     ,06000, ,   ,    ,   ,RJ,VG,D,B, ,0, ,S;
APPCH:030,N,N35, ,RW35,VG,P,G,G  M, ,   ,CF, ,RJ,VG,D,B,      ,    ,    ,3500,0040, ,00105,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,N,N35, ,RJ,VG,D,B,EYM , ,   ,CF, ,RAJ,VG,D, ,      ,3392,0002,3500,0008, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,N,N35, , , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3500,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,N,N35, , , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3500,    , ,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,S17,RAJ,RAJ,VG,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,06000,-,150,    ,   , , , , , ,0, ,S;
APPCH:020,A,S17,RAJ,RAJ,VG,D, ,VY  , ,   ,FC, ,RAJ,VG,D, ,      ,0000,0000,3350,0050,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S17,RAJ,FS17,VG,P,C,EE  ,R,   ,CF,Y,RAJ,VG,D, ,      ,3530,0044,1730,0010,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S17, ,FS17,VG,P,C,E  F, ,   ,IF, ,RAJ,VG,D, ,      ,3530,0044,    ,    ,+,01200,     ,06000, ,   ,    ,   ,RAJ,VG,D, , ,0, ,S;
APPCH:030,S,S17, ,RW17,VG,P,G,G  M, ,   ,CF, ,RAJ,VG,D, ,      ,3589,0004,1730,0040, ,00105,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,S,S17, ,RAJ,VG,D, ,VYM , ,   ,CF, ,RAJ,VG,D, ,      ,0000,0000,1730,0004, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S17, , , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,1730,    ,+,02000,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:060,S,S17, , , , , , E  ,L,   ,VM,Y, , , , ,      ,    ,    ,3530,    , ,02000,     ,     ,-,150,    ,   , , , , , ,0, ,S;
APPCH:010,A,S35,RAJ1,RAJ,VG,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,06000,-,150,    ,   , , , , , ,0, ,S;
APPCH:020,A,S35,RAJ1,RAJ,VG,D, ,VY  , ,   ,FC, ,RAJ,VG,D, ,      ,0000,0000,1960,0038,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S35,RAJ1,FS35,VG,P,C,EE  ,L,   ,CF,Y,RAJ,VG,D, ,      ,1720,0046,3520,0010,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:010,A,S35,RAJ2,RAJ,VG,D, ,V  H, ,   ,IF, , , , , ,      ,    ,    ,    ,    ,+,02000,     ,06000,-,150,    ,   , , , , , ,0, ,S;
APPCH:020,A,S35,RAJ2,RAJ,VG,D, ,VY  , ,   ,FC, ,RAJ,VG,D, ,      ,0000,0000,1900,0038,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:030,A,S35,RAJ2,FS35,VG,P,C,EE  ,L,   ,CF,Y,RAJ,VG,D, ,      ,1720,0046,3520,0010,+,01200,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:020,S,S35, ,FS35,VG,P,C,E  F, ,   ,IF, ,RAJ,VG,D, ,      ,1720,0046,    ,    ,+,01200,     ,06000, ,   ,    ,   ,RAJ,VG,D, , ,0, ,S;
APPCH:030,S,S35, ,RW35,VG,P,G,G  M, ,   ,CF, ,RAJ,VG,D, ,      ,1660,0006,3520,0040, ,00105,     ,     , ,   ,-300,   , , , , , ,0, ,S;
APPCH:040,S,S35, ,RAJ,VG,D, ,VYM , ,   ,CF, ,RAJ,VG,D, ,      ,0000,0000,3520,0006, ,     ,     ,     , ,   ,    ,   , , , , , ,0, ,S;
APPCH:050,S,S35, , , , , ,    , ,   ,CA, , , , , ,      ,    ,    ,3520,    ,+,02000,     ,     ,-,150,    ,   , , , , , ,0, ,S;
APPCH:060,S,S35, , , , , , E  , ,   ,VM, , , , , ,      ,    ,    ,3520,    , ,02000,     ,     ,-,150,    ,   , , , , , ,0, ,S;
RWY:RW17 ,     ,      ,00055, ,    , ,   ;N24264378,E088365391,0000;
RWY:RW35 ,     ,      ,00055, ,    , ,   ;N24254516,E088370513,0000;
